Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume
work,Key-Funded Postdoctral Researcher,"Geography Postdoctral Program, School of Resource and Environmental Sciences, Wuhan University","Wuhan, China",2025.01,,,Co-mentor: Prof.Peng Jia,,
education,"Ph.D., Geoinformatics","Faculty of Geo-information Science and Earth Observation(ITC), University of Twente","Enschede, Netherlands",2020.01,2024.06,Thesis: Improving obesogenic environmental assessments with advanced geospatial methods,"Supervised by Prof.Peng Jia,  Prof.Alfred Stein",,TRUE
education,"M.Sc., Ecology","Institute of Urban Environment, Chinese Academy of Sciences, University of Chinese Academy of Sciences","Xiamen, China",2016.09,2019.06,"Thesis:Creating a Carbon Source and Sink Map by Coupling an Ecological Process Model with an
Emission Inventory to Study a Carbon Balance",Supervised by Prof.Yin Ren,,
education,"B.S., Geographical Science (National Talents Training Base)","School of Geographical Sciences, Fuajian Normal University","Fuzhou, China",2012.09,2016.06,"Thesis:The Planning Location and Design of Smart Campus Based on BIM and GIS:A Case Study
of Fujian Normal University",Supervised by Prof.Huixian Jiang,,TRUE
software,Note of Applied Statistics with R,,,2017,,http://gisersqdai.top/Note-of-Applied-Statistics-with-R-Book/,,,TRUE
software,D3L Tool of NASA Satellite,,,2018,,"The program provides a graphical interface to download satellite imagery from NASA, such as MODIS
products, MERIS and more information can see [url](http://gisersqdai.top/D3LTool/)
",,,TRUE
software,Geographical detector in R,,,2018,,The geographical detector software based on R,,,TRUE
software,GitHub Paper Notebook,,,2018,,The software for notebook of papers,,,TRUE
software,rgeoda,,,2019,,rgeoda is a R package for spatial data analysis based on libgeoda and GeoDa(contributor).,,,TRUE
software,COVID-19 Dashboard shiny app,,,2020,,"A developed dashboard shiny app about COVID-19, [url]( https://gisersqdai.shinyapps.io/COVID19VIS/). ",,,TRUE
software,Awesome COVID-19,,,2020,,Resources of COVID-19 research. http://covid19.gisersqdai.top/en-us/,,,TRUE
software,MetS score calculator shiny app,,,2023,,A shiny app to calculate MetS score. https://gisersqdai.shinyapps.io/mets_severiity_calculator/ ,,,TRUE
research_interest,Health Geography; Urban Visual Intelligence; Spatial Lifecourse Helath; Spatial Statistics; GeoAI; Spatial-Temporal Big Data,,,2012,,,,,TRUE
awards_honors,Best Oral Presentation Award in 3rd Urban Agglomeration Green Development Conference,,,,2025,"Urban Agglomeration Green Development Special Committee, Chinese Society for Urban Studies",,,
awards_honors,The National 2nd Prize in the 9th Planning Decision Support Model Design Contest(Chengyuan Cup)[Supervisor],,,,2025,"Beijing Chengyuan Digital Technology Co. Ltd., World Urban Planning Education Network, Beijing Planning Institute Hongdu Planning and Architectural Design Research Institute Co. Ltd.",,,
